Valence,Year,Acousticness,Artists,Danceability,Duration,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,Duration_minutes
0.594,2020,0.244,KAROL G,0.73,198720,0.769,No explicit content,2.0600000000000006e-05,2,0.136,-4.936,Major,A Ella,7,0.17800000000000002,181.988,03:18
0.501,2020,0.000266,Sono,0.6729999999999999,218510,0.915,No explicit content,0.107,4,0.11599999999999999,-5.115,Minor,A New Cage - Radio Edit,7,0.0349,115.985,03:38
0.653,2020,0.10099999999999999,J Balvin,0.8420000000000001,206373,0.828,No explicit content,0.00179,6,0.0579,-2.495,Minor,Azul,7,0.0696,94.015,03:26
0.922,2020,0.0754,Daddy Yankee,0.805,224800,0.878,No explicit content,0.00329,7,0.0656,-3.826,Major,Limbo,9,0.0864,124.994,03:44
0.531,2020,0.512,KAROL G,0.718,189653,0.7120000000000001,No explicit content,0.00121,11,0.10400000000000001,-4.3660000000000005,Major,"Ay, DiOs Mío!",9,0.174,180.03400000000005,03:09
0.12300000000000001,2020,0.009470000000000001,"KAROL G, Bad Bunny",0.652,233293,0.5770000000000001,No explicit content,4.02e-05,7,0.0905,-5.273,Minor,Ahora Me Llama,9,0.0373,135.009,03:53
0.6,2020,0.309,Nivel Codiciado,0.7190000000000001,183762,0.522,No explicit content,0.0,7,0.105,-6.617000000000001,Minor,Adueñarme,66,0.0322,83.086,03:03
0.10099999999999999,2020,0.0199,"Future, Lil Uzi Vert",0.7829999999999999,133171,0.529,No explicit content,0.0,2,0.26899999999999996,-7.19,Major,Marni On Me,22,0.419,123.053,02:13
0.321,2020,0.9440000000000001,Lewis Capaldi,0.746,220200,0.322,No explicit content,0.0,1,0.19699999999999998,-7.9220000000000015,Minor,Bruises,22,0.0798,110.774,03:40
0.541,2020,0.473,Kodak Black,0.8290000000000001,128955,0.439,Explicit content,0.0,10,0.5,-10.35,Minor,Dummy Green,61,0.226,133.929,02:08
0.496,2020,0.0638,"Future, Lil Uzi Vert",0.941,188246,0.564,No explicit content,0.0,11,0.132,-4.967,Major,Tic Tac,29,0.3,132.879,03:08
0.414,2020,0.0914,Kodak Black,0.636,219596,0.604,No explicit content,0.0,2,0.231,-6.267,Major,"Eeny, Meeny, Miny, Moe",30,0.39,129.909,03:39
0.382,2020,0.133,"Kodak Black, CBE, Gucci Mane",0.593,133645,0.741,No explicit content,0.0,7,0.1,-5.4110000000000005,Major,I Knew It (feat. Gucci Mane & CBE),31,0.259,85.696,02:13
0.41200000000000003,2020,0.297,Kodak Black,0.836,215040,0.509,No explicit content,0.0,11,0.0716,-7.023,Minor,Serene,31,0.0778,124.985,03:35
0.528,2020,0.026000000000000002,"Kodak Black, Lil Yachty",0.762,211948,0.5770000000000001,No explicit content,2.13e-06,1,0.113,-6.15,Major,Make A Hit (feat. Lil Yachty),31,0.157,153.966,03:31
0.361,2020,0.00305,"Dua Lipa, KUU, DaBaby",0.7340000000000001,250985,0.89,No explicit content,0.000472,2,0.11800000000000001,-6.069,Major,Levitating (feat. DaBaby) - KUU Remix,32,0.0526,111.975,04:10
0.34700000000000003,2020,0.447,"Sam Smith, Normani",0.741,171030,0.52,No explicit content,1.97e-06,8,0.222,-7.513,Major,Dancing With A Stranger,32,0.0656,102.99799999999999,02:51
