mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,duration,counts
1,melbourne indie,0.00149,0.44299999999999995,312227.0,0.737,0.0032,0.121,-4.5089999999999995,0.0293,115.277,0.746,57.0,0,05:12,1
1,mellow gold,0.3272178265686663,0.5540149461839842,240934.7329068461,0.5617640818189418,0.04041769199257804,0.1971107259464314,-10.706915020568342,0.05419452439055617,119.84304350176059,0.5880317415830978,38.36484908490819,7,04:00,44
1,melodic death metal,0.06545349885858585,0.4116380808080808,237331.32131313128,0.898166818181818,0.27896483547474743,0.2473475252525253,-5.211509242424242,0.08621416666666668,122.41350156565656,0.3532739898989899,46.985858585858594,6,03:57,5
1,melodic deathcore,0.029934477619047627,0.4119380952380952,237915.5380952381,0.9556142857142859,0.2243509920952381,0.17876380952380952,-3.814780952380953,0.1708647619047619,119.73270476190477,0.2239119047619048,42.819047619047616,7,03:57,2
1,melodic dubstep,0.06386996483918128,0.5160129385964912,271266.8242690058,0.7757657163742689,0.1036712884758772,0.2395664181286549,-5.530353289473685,0.057894261695906425,129.74093625730995,0.2893744883040936,50.00204678362573,9,04:31,1
1,melodic groove metal,0.0014974113636363636,0.4263106060606061,253263.7803030303,0.9409166666666668,0.012907179848484848,0.16807045454545458,-5.009818181818182,0.13763560606060604,133.58007575757577,0.32971666666666666,51.24242424242424,7,04:13,2
1,melodic hardcore,0.05918671258298248,0.4233837674230532,185637.86845141466,0.8632687052530803,0.03553576581907676,0.24302951609402504,-6.0407103274701495,0.08366984812806245,129.72743133540564,0.494502850051734,43.82813860246897,4,03:05,12
0,melodic metal,0.09266623333333336,0.4264761904761905,303920.8595238095,0.830552380952381,0.08039710226190477,0.21580380952380948,-5.92235,0.06486476190476191,129.79448333333335,0.3472166666666667,45.58809523809524,0,05:03,1
1,melodic metalcore,0.06836111787372674,0.4175634465158457,233217.19138333702,0.8845257001568169,0.09010821322340386,0.2222954002904524,-5.1360112666666415,0.11600395624917573,126.39780027626259,0.3052104274622976,46.340472549100774,7,03:53,42
1,melodic power metal,0.000101,0.336,296160.0,0.92,0.0145,0.111,-5.872000000000001,0.0983,160.23,0.285,60.0,4,04:56,1
1,melodic rap,0.1953276462737304,0.7282098116968305,199803.11380223557,0.6026196200630862,0.018341066539531447,0.1615722642804379,-7.3545440864411225,0.1578280319058361,121.86449723115842,0.4681794634084466,60.61712432647079,1,03:19,58
